Type,Study Region,Contractor,2025,2030,2035,2040,2045
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,City of Folsom,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,City of Redding,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,City of Roseville,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,City of West Sacramento,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Yuba City,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,El Dorado Irrigation District,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Placer County Water Agency,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Sacramento County Water Agency,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,San Juan Water District,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Shasta Contractors,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Solano County Water Agency,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Avenal,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Coalinga,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Fresno,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Huron,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Lindsay,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Orange Cove,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Tracy,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,Kern County Water Agency,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,5,5,5,5,5
Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,Stockton-East Water District,5,5,5,5,5
Inter-agency transfers (urban to urban),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",5,5,5,5,5
Inter-agency transfers (urban to urban),San Francisco Bay Area,Alameda County Water District,5,5,5,5,5
Inter-agency transfers (urban to urban),San Francisco Bay Area,Contra Costa Water District,5,5,5,5,5
Inter-agency transfers (urban to urban),San Francisco Bay Area,East Bay Municipal Utilities District,5,5,5,5,5
